name,dosage,duration,instructions,category,description
Tab. Loperamide 2mg,1-0-1,2 days,After loose motion,Antidiarrheal,"Opioid receptor agonist acting on gut to reduce diarrhea; avoids central effects at standard doses but misuse risk exists at very high doses."
ORS Sachet,As needed,2-3 days,Dissolve in 1L boiled water,Rehydration,"Oral rehydration solution to replace fluids and electrolytes in dehydration; cornerstone of diarrheal management."
Tab. Metformin 500mg,1-0-1,Long term,With meals,Antidiabetic,"First-line oral agent for type 2 diabetes that improves insulin sensitivity; gastrointestinal side effects common, rare risk of lactic acidosis in severe renal impairment."
Tab. Glimepiride 1mg,1-0-0,Long term,Before breakfast,Antidiabetic,"Sulfonylurea that increases insulin release; effective for glucose control but carries risk of hypoglycaemia and weight gain."
Tab. Amlodipine 5mg,1-0-0,Long term,Morning,Antihypertensive,"Calcium channel blocker used for hypertension and angina; may cause peripheral edema and flushing."
Tab. Atenolol 50mg,1-0-0,Long term,Morning,Antihypertensive,"Cardioselective beta-blocker for hypertension and ischemic heart disease; avoid abrupt withdrawal and use caution in asthma/COPD."
Tab. Telmisartan 40mg,1-0-0,Long term,Morning,Antihypertensive,"Angiotensin receptor blocker (ARB) used for hypertension with a favorable side-effect profile; avoid in pregnancy and monitor potassium/renal function."
Tab. Enalapril 5mg,1-0-1,Long term,After food,Antihypertensive,"ACE inhibitor reducing blood pressure and improving outcomes in heart failure; cough and hyperkalemia are notable adverse effects; contraindicated in pregnancy."
Tab. Atorvastatin 10mg,0-0-1,Long term,Night,Hypolipidemic,"HMG-CoA reductase inhibitor that lowers LDL cholesterol and reduces cardiovascular risk; monitor for muscle pain and liver enzymes."
Tab. Albendazole 400mg,Stat dose,1 day,"Chew well, at night",Anthelminthic,"Broad-spectrum antiparasitic used for intestinal worms and some tissue parasites; well tolerated but teratogenicity concerns in pregnancy for some indications."
Tab. Fluconazole 150mg,Once weekly,4 weeks,After food,Antifungal,"Systemic azole antifungal used for mucocutaneous fungal infections; can interact with many drugs via CYP metabolism."
Tab. Calcium + Vitamin D3,0-0-1,30 days,After food,Supplement,"Supplement for bone health and prevention of deficiency; excessive calcium may cause constipation and, rarely, hypercalcemia."
Tab. B-Complex,1-0-0,15 days,After food,Supplement,"Multivitamin complex providing B vitamins useful in deficiency states and some metabolic conditions; generally safe in recommended doses."
Tab. Iron + Folic Acid,1-0-0,90 days,After food,Supplement,"Used to treat and prevent iron-deficiency anemia; may cause GI upset and dark stools; take on an empty stomach for best absorption but often advised with food for tolerance."
Syp. Paracetamol 125mg/5ml,5ml TDS,3 days,After food,Pediatric Antipyretic,"Liquid formulation of paracetamol for children; dose by weight/age to avoid overdose—check dosing charts."
Syp. Amoxicillin 125mg/5ml,5ml TDS,5 days,After food,Pediatric Antibiotic,"Paediatric oral amoxicillin suspension used for childhood infections; check reconstitution instructions and finish course."
Syp. Cough Mixture,5ml TDS,5 days,After food,Antitussive,"Varied formulations exist; many are symptomatic and may contain expectorants, antihistamines or dextromethorphan—use based on symptoms and age limits."
Tab. Salbutamol 2mg,1-1-1,5 days,After food,Bronchodilator,"Short-acting beta2 agonist for relief of bronchospasm; inhaled formulations preferred for asthma to reduce systemic effects."
Tab. Prednisolone 5mg,1-1-1,5 days,After food,Steroid,"Oral corticosteroid used for many inflammatory and allergic conditions; short courses are often safe, but long-term use has systemic side effects."
Tab. Dexamethasone 0.5mg,1-0-1,3 days,After food,Steroid,"Potent corticosteroid with anti-inflammatory effects; used for a range of indications—monitor for systemic effects with prolonged therapy."
Cap. Doxycycline 100mg,1-0-1,7 days,"After food, plenty of water",Antibiotic,"Tetracycline antibiotic used for respiratory and skin infections and some atypical organisms; avoid in pregnancy and children under 8 due to teeth/bone effects, and avoid sun exposure."
Tab. Tinidazole 500mg,1-0-1,3 days,After food,Antiprotozoal,"Similar to metronidazole with activity against protozoa and anaerobes; avoid alcohol during treatment."
Tab. Nitrofurantoin 100mg,1-1-1-1,7 days,After food,Urinary Anti-infective,"Used for uncomplicated urinary tract infections; contraindicated in significant renal impairment and can cause pulmonary or hepatic adverse effects rarely."
Tab. Losartan 50mg,1-0-0,Long term,Morning,Antihypertensive,"ARB for hypertension; generally well tolerated and useful in patients intolerant of ACE inhibitors."
Tab. Glibenclamide 5mg,1-0-1,Long term,Before food,Antidiabetic,"Sulfonylurea with higher hypoglycaemia risk, especially in elderly; acts by stimulating insulin release."
Tab. Aspirin 75mg,0-0-1,Long term,After food,Antiplatelet,"Low-dose antiplatelet used for secondary prevention of cardiovascular events; increases bleeding risk and should be used with caution with other anticoagulants."
Tab. Clopidogrel 75mg,0-0-1,Long term,After food,Antiplatelet,"P2Y12 receptor inhibitor used to reduce arterial thrombosis risk; monitor for bleeding and consider interaction with some PPIs."
Tab. Furosemide 40mg,1-0-0,As needed,Morning,Diuretic,"Loop diuretic used for fluid overload and oedema; causes electrolyte disturbances and requires monitoring of renal function and potassium."
Tab. Spironolactone 25mg,1-0-0,Long term,After food,Diuretic,"Aldosterone antagonist useful in heart failure and resistant hypertension; can cause hyperkalemia and endocrine side effects (gynecomastia)."
Tab. Chloroquine 250mg,As per schedule,3 days,After food,Antimalarial,"Historically used antimalarial; resistance is common in many regions—use based on local guidelines."
Tab. Artemether + Lumefantrine,As per schedule,3 days,With fatty food,Antimalarial,"Artemisinin-based combination therapy for uncomplicated falciparum malaria; must adhere to full course and take with fat for absorption."
Tab. Phenytoin 100mg,1-0-1,Long term,After food,Antiepileptic,"Sodium-channel blocker anticonvulsant with nonlinear kinetics: therapeutic drug monitoring often required; can cause gum hypertrophy and drug interactions."
Tab. Carbamazepine 200mg,1-0-1,Long term,After food,Antiepileptic,"Sodium-channel blocker effective in focal seizures and trigeminal neuralgia; induces hepatic enzymes and has hematologic and dermatologic adverse effects."
Tab. Sodium Valproate 200mg,1-0-1,Long term,After food,Antiepileptic,"Broad-spectrum anticonvulsant effective for generalized and focal seizures; teratogenic and associated with weight gain and hepatic effects—monitor liver function."
Tab. Amitriptyline 10mg,0-0-1,Long term,Night,Antidepressant,"Tricyclic antidepressant used for depression and neuropathic pain; anticholinergic side effects and cardiac conduction effects limit use in some patients."
Tab. Fluoxetine 20mg,1-0-0,Long term,Morning,Antidepressant,"SSRI antidepressant with long half-life used in depression and anxiety disorders; may cause GI upset and sexual dysfunction; gradual onset of effect."
Tab. Diazepam 5mg,0-0-1,Short term,Night,Anxiolytic/Sedative,"Benzodiazepine for anxiety and insomnia with sedative and muscle-relaxant effects; risk of dependence with prolonged use and respiratory depression with other CNS depressants."
Tab. Haloperidol 1.5mg,1-0-1,Long term,After food,Antipsychotic,"Typical antipsychotic effective for psychosis; can cause extrapyramidal side effects and requires monitoring."
Tab. Levodopa + Carbidopa,1-1-1,Long term,30 mins before food,Antiparkinson,"Gold-standard symptomatic therapy for Parkinson's disease; long-term motor complications can occur and dosing is individualized."
Tab. Digoxin 0.25mg,1-0-0,Long term,Morning,Cardiac Glycoside,"Inotropic agent used in heart failure and some arrhythmias; narrow therapeutic window—monitor levels and interactions."
Tab. Warfarin 5mg,As per INR,Long term,Fixed time daily,Anticoagulant,"Vitamin K antagonist requiring INR monitoring for therapeutic effect; many drug and dietary interactions and contraindicated in pregnancy except rare cases."
Tab. Thyroxine 50mcg,1-0-0,Long term,Empty stomach,Thyroid Hormone,"Replacement therapy for hypothyroidism; dose titrated by TSH levels; take on empty stomach for consistent absorption."
Tab. Hydrochlorothiazide 12.5mg,1-0-0,Long term,Morning,Antihypertensive/Diuretic,"Thiazide diuretic used in hypertension; may cause electrolyte changes (low K+, Na+) and metabolic effects."
Tab. Bisoprolol 5mg,1-0-0,Long term,Morning,Antihypertensive/Beta-blocker,"Cardioselective beta-blocker for hypertension and heart disease; monitor for bradycardia and avoid abrupt cessation."
Tab. Rosuvastatin 10mg,0-0-1,Long term,Night,Hypolipidemic,"Potent statin that lowers LDL cholesterol; monitor for myopathy and liver enzymes."
Tab. Sitagliptin 100mg,1-0-0,Long term,Morning,Antidiabetic,"DPP-4 inhibitor that increases incretin hormones to improve glycaemic control; generally well tolerated with low hypoglycaemia risk."
Tab. Vildagliptin 50mg,1-0-1,Long term,After food,Antidiabetic,"DPP-4 inhibitor similar to sitagliptin; used for type 2 diabetes to improve glycaemic control."
Tab. Gliclazide 60mg MR,1-0-0,Long term,Breakfast,Antidiabetic,"Modified-release sulfonylurea used once daily for glycemic control; monitor for hypoglycaemia."
Tab. Pioglitazone 15mg,1-0-0,Long term,After food,Antidiabetic,"Thiazolidinedione improving insulin sensitivity; associated with weight gain, fluid retention, and risk of heart failure in predisposed patients."
Tab. Allopurinol 100mg,1-0-0,Long term,After food,Antigout,"Xanthine oxidase inhibitor to lower uric acid levels; start low and monitor for hypersensitivity—dose adjustment needed in renal impairment."
Tab. Methotrexate 7.5mg,Once weekly,Long term,Specific day,DMARD/Antirheumatic,"Disease-modifying antirheumatic drug used in rheumatologic conditions and some cancers; folic acid supplementation recommended and monitor blood counts/liver function."
Tab. Hydroxychloroquine 200mg,1-0-1,Long term,After food,DMARD/Antimalarial,"Used in autoimmune diseases like rheumatoid arthritis and lupus; eye toxicity is rare but requires periodic ophthalmologic monitoring."
Tab. Azathioprine 50mg,1-0-1,Long term,After food,Immunosuppressant,"Immunosuppressant used in autoimmune disease and transplant; monitor blood counts and liver function, and consider TPMT testing."
Tab. Sulfasalazine 500mg,1-1-1,Long term,After food,DMARD,"Used in inflammatory bowel disease and rheumatologic conditions; can cause GI upset and hypersensitivity reactions."
Tab. Mycophenolate Mofetil 500mg,1-0-1,Long term,Empty stomach,Immunosuppressant,"Antiproliferative agent used in transplant and autoimmune disease; associated with cytopenias and gastrointestinal side effects."
Tab. Ciclosporin 100mg,1-0-1,Long term,Fixed time,Immunosuppressant,"Calcineurin inhibitor with narrow therapeutic index used in transplantation and autoimmune disease; nephrotoxicity and drug interactions are important considerations."
Tab. Rifampicin 600mg,1-0-0,6 months,Empty stomach,Antitubercular,"Key antitubercular agent that induces hepatic enzymes and colors body fluids orange; interactions with many drugs and must be used as part of combination therapy."
Tab. Isoniazid 300mg,1-0-0,6 months,Empty stomach,Antitubercular,"First-line antitubercular with risk of hepatotoxicity and peripheral neuropathy (give pyridoxine to reduce neuropathy risk)."
Tab. Pyrazinamide 1500mg,1-0-0,2 months,After food,Antitubercular,"Part of initial TB regimen; can cause hyperuricemia and hepatotoxicity—monitoring recommended."
Tab. Ethambutol 800mg,1-0-0,6 months,After food,Antitubercular,"Active against mycobacteria; optic neuritis is a key adverse effect—monitor vision during therapy."
Tab. Oseltamivir 75mg,1-0-1,5 days,After food,Antiviral,"Neuraminidase inhibitor for influenza; most effective when started early and may reduce symptom duration."
Tab. Acyclovir 400mg,5 times/day,7 days,After food,Antiviral,"Antiviral for herpesvirus infections; dosing and duration vary by indication—adequate hydration helps renal clearance."
Tab. Tenofovir 300mg,1-0-0,Long term,After food,Antiretroviral/Antihepatitis,"Nucleotide reverse-transcriptase inhibitor used in HIV and hepatitis B; monitor renal function and bone density with long-term use."
Tab. Entecavir 0.5mg,1-0-0,Long term,Empty stomach,Antihepatitis B,"Nucleoside analogue used for hepatitis B with good potency and tolerability; adherence is important to prevent resistance."
Tab. Sofosbuvir 400mg,1-0-0,12 weeks,After food,Antihepatitis C,"Direct-acting antiviral for hepatitis C with high cure rates in combination regimens; regimen choice depends on genotype and liver status."
Tab. Daclatasvir 60mg,1-0-0,12 weeks,After food,Antihepatitis C,"NS5A inhibitor used as part of combination therapy for hepatitis C; drug interactions possible via CYP enzymes."
Inj. Insulin Glargine 10U,0-0-1,Long term,"SC, Night",Insulin,"Long-acting basal insulin for diabetes management; adjust dose according to glucose monitoring to avoid hypoglycemia."
Inj. Insulin Mixtard 10U,1-0-1,Long term,"SC, Before food",Insulin,"Premixed insulin providing basal and prandial coverage; dosing individualized and risk of hypoglycemia exists."
Tab. Propranolol 20mg,1-0-1,Long term,After food,Beta-blocker,"Non-selective beta-blocker used for migraine prophylaxis, essential tremor and cardiac indications; caution in asthma and peripheral vascular disease."
Tab. Clonazepam 0.5mg,0-0-1,Short term,Night,Benzodiazepine,"Benzodiazepine with anticonvulsant and anxiolytic properties; risk of dependence and daytime sedation."
Tab. Lorazepam 1mg,0-0-1,Short term,Night,Benzodiazepine,"Intermediate-acting benzodiazepine used for anxiety and acute agitation; monitor for sedation and dependence."
Tab. Zolpidem 10mg,0-0-1,Short term,Bedtime,Hypnotic,"Non-benzodiazepine hypnotic for short-term insomnia; caution with next-day impairment and complex sleep-related behaviors."
Tab. Escitalopram 10mg,0-0-1,Long term,Night,Antidepressant,"SSRI used for depression and anxiety; may take weeks for effect and has typical SSRI side effects."
Tab. Sertraline 50mg,1-0-0,Long term,Morning,Antidepressant,"SSRI for depression and anxiety disorders; consider interactions and gradual dose titration."
Tab. Venlafaxine 75mg,1-0-0,Long term,Morning,Antidepressant,"SNRI effective in depression and some anxiety disorders; monitor blood pressure at higher doses."
Tab. Quetiapine 25mg,0-0-1,Long term,Night,Antipsychotic,"Atypical antipsychotic used for schizophrenia and bipolar disorder; metabolic side effects (weight, lipids, glucose) are considerations."
Tab. Olanzapine 5mg,0-0-1,Long term,Night,Antipsychotic,"Effective antipsychotic with higher risk of metabolic adverse effects; monitor weight and metabolic parameters."
Tab. Risperidone 2mg,0-0-1,Long term,Night,Antipsychotic,"Atypical antipsychotic used for psychosis and mood disorders; can raise prolactin and cause extrapyramidal symptoms."
Tab. Donepezil 5mg,0-0-1,Long term,Night,Anti-dementia,"Cholinesterase inhibitor used in Alzheimer's disease to improve cognitive symptoms modestly; may cause GI and sleep disturbances."
Tab. Memantine 10mg,1-0-1,Long term,After food,Anti-dementia,"NMDA receptor antagonist used for moderate-severe Alzheimer's disease; generally well tolerated."
Tab. Calcium Carbonate 500mg,1-0-1,Long term,After food,Supplement,"Oral calcium supplement for deficiency and bone health; separate from some medications to avoid absorption interactions."
Cap. Vitamin D3 60k,Once weekly,8-12 weeks,After heavy meal,Supplement,"High-dose vitamin D given intermittently to correct deficiency; monitoring and maintenance dosing follow correction."
Tab. Vitamin C 500mg,1-0-0,30 days,Chewable,Supplement,"Antioxidant vitamin used to prevent/treat deficiency and support wound healing; excess may cause GI upset or kidney stones in predisposed individuals."
Tab. Zinc Sulphate 20mg,1-0-0,14 days,After food,Supplement/Diarrhea,"Used in acute diarrhoea in children and for deficiency; high doses can cause nausea and interfere with copper absorption."
Tab. Mupirocin 2% Ointment,Apply TDS,5-7 days,Topical application,Topical Antibiotic,"Topical antibiotic for superficial skin infections (e.g., impetigo); limited systemic absorption."
Tab. Clotrimazole 1% Cream,Apply BD,7-14 days,Topical application,Antifungal Topical,"Azole antifungal for superficial fungal infections of skin and mucosa; generally well tolerated locally."
Tab. Hydrocortisone 1% Cream,Apply BD,7 days,Topical application,Topical Steroid,"Mild topical corticosteroid for inflammatory dermatoses; avoid prolonged use on thin skin or large areas."
Tab. Silver Sulfadiazine 1% Cream,Apply BD,As needed,Topical application,Topical Antimicrobial,"Topical agent for burn wound infection prevention; systemic sulfonamide effects are rare but possible."
Tab. Moxifloxacin Eye Drops 0.5%,1 drop TDS,7 days,Eye instillation,Topical Ocular Antibiotic,"Broad-spectrum ophthalmic fluoroquinolone for bacterial eye infections; avoid prolonged indiscriminate use to limit resistance."
Tab. Timolol Eye Drops 0.5%,1 drop BD,Long term,Eye instillation,Glaucoma Agent,"Topical beta-blocker for glaucoma to lower intraocular pressure; systemic absorption may affect heart and lungs."
Tab. Latanoprost Eye Drops 0.005%,1 drop Nightly,Long term,Eye instillation,Glaucoma Agent,"Prostaglandin analogue used once nightly to reduce intraocular pressure; may change eyelash growth and iris pigmentation."
Tab. Mometasone Nasal Spray 50mcg,1 spray OD,7-14 days,Nasal application,Nasal Steroid,"Intranasal steroid for allergic rhinitis with good local efficacy and low systemic absorption at recommended doses."
Tab. Salmeterol + Fluticasone Inhaler,1 puff BD,Long term,Inhaled,Bronchodilator/Inhaled Corticosteroid,"Combination LABA and inhaled steroid for asthma/COPD control; regular use indicated for persistent symptoms—use spacer for inhaler technique if needed."
Tab. Budesonide Inhaler 200mcg,1-2 puffs BD,Long term,Inhaled,Inhaled Corticosteroid,"Inhaled steroid reducing airway inflammation in asthma; rinse mouth after use to lower thrush risk."
Tab. Tiotropium Inhaler 18mcg,1 inhalation OD,Long term,Inhaled,Anticholinergic Bronchodilator,"Long-acting muscarinic antagonist for COPD maintenance with bronchodilator effect and convenient once-daily dosing."
Tab. Ipratropium Bromide Nasal Spray,2 sprays BD,As needed,Nasal application,Anticholinergic Nasal,"Used for rhinorrhoea in nonallergic and vasomotor rhinitis; local anticholinergic effects predominate."
Tab. Salbutamol Inhaler 100mcg,1-2 puffs PRN,As needed,Inhaled,Bronchodilator,"Short-acting reliever inhaler for acute bronchospasm—teach correct inhaler technique and keep accessible."
Tab. Epinephrine Auto-injector 0.3mg,Single dose,Emergency,Immediate IM injection,Emergency Anaphylaxis,"Rapid-acting adrenergic agonist for anaphylaxis; intramuscular administration is life-saving—seek emergency care after use."
Tab. Tramadol 50mg,1-0-1,3-5 days,After food,Opioid Analgesic,"Moderate opioid analgesic with serotonergic effects; risk of dependence and seizures at high doses; interact with other CNS depressants."
Tab. Codeine + Paracetamol 30/500mg,1-0-1,3-5 days,After food,Opioid Analgesic,"Combination opioid for moderate pain; codeine metabolized variably—use cautiously in children and those with respiratory disease."
Tab. Naloxone Injection 0.4mg/ml,0.4-2mg IV/IM PRN,Emergency,Immediate injection,Opioid Antagonist,"Opioid antagonist for suspected opioid overdose to reverse respiratory depression—requires monitoring and possible repeat dosing."
Tab. Enoxaparin 40mg/0.4ml,1 SC OD,As per indication,SC injection,Low Molecular Weight Heparin,"Anticoagulant used for thromboprophylaxis and acute VTE treatment; dosing adjusted for weight and renal function—monitor for bleeding."
Tab. Apixaban 2.5mg,0-0-1,Long term,Fixed time daily,DOAC Anticoagulant,"Direct factor Xa inhibitor used for stroke prevention in AF and VTE; no routine monitoring but consider renal function and bleeding risk."
Tab. Rivaroxaban 10mg,1-0-0,As per indication,Fixed time daily,DOAC Anticoagulant,"Oral factor Xa inhibitor for VTE prophylaxis and treatment; adhere to dosing schedule and assess renal function."
Tab. Meropenem 1g,1-0-1,As per indication,IV infusion,Carbapenem Antibiotic,"Broad-spectrum IV antibiotic reserved for severe or resistant infections; use guided by microbiology to limit resistance emergence."
Tab. Piperacillin + Tazobactam 4.5g,As per indication,IV infusion,IV infusion,Extended-spectrum Beta-lactam,"Broad-spectrum beta-lactam/beta-lactamase inhibitor for severe infections including Pseudomonas coverage; usually inpatient IV therapy."
Tab. Clarithromycin 500mg,1-0-1,5-7 days,After food,Antibiotic,"Macrolide antibiotic similar to azithromycin with interaction potential via CYP3A4—use caution with other medications."
Tab. Cefuroxime 500mg,1-0-1,5 days,After food,Antibiotic,"Second-generation cephalosporin for respiratory and some soft tissue infections; check for penicillin allergy cross-reactivity."
Tab. Linezolid 600mg,1-0-1,7-14 days,Oral/IV,Oxazolidinone Antibiotic,"Active against resistant Gram-positive organisms including MRSA and VRE; long courses may cause myelosuppression and neuropathy, and interact with serotonergic drugs."
Tab. Vancomycin 1g,As per level,IV infusion,IV infusion,Glycopeptide Antibiotic,"IV agent for serious Gram-positive infections; therapeutic drug monitoring often required to optimize efficacy and minimize toxicity."
Tab. Metformin SR 500mg,1-0-1,Long term,With meals,Antidiabetic,"Sustained-release formulation of metformin to reduce GI side effects while maintaining glycemic benefits."
Tab. Empagliflozin 10mg,1-0-0,Long term,Morning,SGLT2 Inhibitor,"SGLT2 inhibitor lowering glucose via renal excretion; benefits on heart failure and renal outcomes in some patients but risk of genital infections and euglycemic ketoacidosis in certain settings."
Tab. Dapagliflozin 10mg,1-0-0,Long term,Morning,SGLT2 Inhibitor,"SGLT2 inhibitor used in diabetes and heart failure settings; monitor renal function and educate on genital hygiene to reduce infections."
Tab. Liraglutide 0.6mg,Once daily,Long term,SC injection,GLP-1 Agonist,"GLP-1 receptor agonist improving glycemic control and often reducing weight; injection therapy with GI side effects common initially."
Tab. Semaglutide 0.25mg,Once weekly,Long term,SC injection,GLP-1 Agonist,"Long-acting GLP-1 receptor agonist administered weekly for diabetes and some indications for weight management; monitor for GI adverse effects."
Tab. Omeprazole IV 40mg,1 dose/day,As per indication,IV infusion,Antacid/PPI,"IV PPI used when oral route unavailable for acid suppression—used in GI bleeding or perioperative settings."
Tab. Azathioprine (additional) 50mg,1-0-1,Long term,After food,Immunosuppressant,"Used in autoimmune conditions; metabolized variably—consider testing for TPMT activity to reduce hematologic toxicity risk."
Tab. Mycophenolate Sodium 500mg,1-0-1,Long term,After food,Immunosuppressant,"Alternative formulation of mycophenolate with similar immunosuppressive effects and monitoring needs."
Tab. Prednisone 5mg,1-0-0,Short course,After food,Steroid,"Oral glucocorticoid used widely for inflammatory conditions with dose and duration determining adverse effect profile—taper when stopping prolonged therapy."
Tab. Benzoyl Peroxide 5% Gel,Apply OD,As needed,Topical application,Topical Acne Agent,"Topical agent for acne with antibacterial and keratolytic properties; may cause local irritation and bleaching of fabrics."
Tab. Isotretinoin 10mg,1-0-0,Variable,With food,Oral Retinoid,"Powerful systemic acne therapy with teratogenicity risks and multiple monitoring requirements; reserved for severe nodulocystic acne under specialist supervision."
Tab. Sildenafil 50mg,1-0-0,As needed,30-60 mins before sex,ED Agent,"PDE5 inhibitor for erectile dysfunction; contraindicated with nitrates and caution with cardiovascular disease."
Tab. Tamsulosin 0.4mg,1-0-0,Long term,After food,BPH Agent,"Alpha-1 blocker used to improve urinary flow in benign prostatic hyperplasia; may cause postural hypotension and ejaculatory disturbance."
Tab. Finasteride 5mg,1-0-0,Long term,Once daily,BPH/Androgenic Alopecia Agent,"5-alpha reductase inhibitor that reduces prostate volume and male-pattern hair loss; sexual adverse effects and teratogenic—avoid in women of childbearing potential."
Tab. Omalizumab 150-300mg,Every 2-4 weeks,Long term,SC injection,Biologic Anti-IgE,"Monoclonal antibody for severe allergic asthma and chronic urticaria; administered by specialist with monitoring for injection reactions."
Tab. Denosumab 60mg,Every 6 months,Long term,SC injection,Bone Metabolism Agent,"RANKL inhibitor used to reduce fracture risk in osteoporosis; dental evaluation advised before starting due to osteonecrosis risk."
Tab. Levothyroxine (additional) 100mcg,1-0-0,Long term,Empty stomach,Thyroid Hormone,"Standard replacement dose in hypothyroidism—dose individualized to TSH and clinical response."
